"Story","Title","Result","Date","Stability","Duration (s)"
"Pet CRUD test","This will add a pet information","SUCCESS","2023-01-10T23:06:57.181Z[Europe/London]","0.0","13.1"
"Pet CRUD test","This will find pet information by petID","SUCCESS","2023-01-10T23:07:10.395Z[Europe/London]","0.0","1.01"
"Pet CRUD test","This will update pet information","SUCCESS","2023-01-10T23:07:11.406Z[Europe/London]","0.0","0.57"
"Pet CRUD test","Deleting pet info and verifying pet info is delted","SUCCESS","2023-01-10T23:07:11.975Z[Europe/London]","0.0","1.08"
"Tags test","Test001","SUCCESS","2023-01-10T23:07:15.103Z[Europe/London]","0.0","1.17"
"Tags test","Test002","SUCCESS","2023-01-10T23:07:16.275Z[Europe/London]","0.0","0.54"
"Tags test","Provide 500 status code when incorrect Http method is used to access resource","FAILURE","2023-01-10T23:07:16.818Z[Europe/London]","0.0","0.71"
"Tags test","Provide 200 status code when correct Http method is used to access resource","SUCCESS","2023-01-10T23:07:17.558Z[Europe/London]","0.0","0.59"
"User data driven test","Data driven test for adding multiple users to the application","SUCCESS","2023-01-10T23:07:19.292Z[Europe/London]","0.0","6.05"
"Pet data driven test","Data driven test for adding multiple pets to the application","SUCCESS","2023-01-10T23:07:28.555Z[Europe/London]","0.0","6.13"
"User CRUD test","This will create a new user","SUCCESS","2023-01-10T23:07:28.668Z[Europe/London]","0.0","0.52"
"User CRUD test","This will verify that new user has been created","SUCCESS","2023-01-10T23:07:29.190Z[Europe/London]","0.0","0.51"
"User CRUD test","This will update a new user","SUCCESS","2023-01-10T23:07:29.701Z[Europe/London]","0.0","1.02"
"User CRUD test","Deleting user and verifying user is delted","SUCCESS","2023-01-10T23:07:30.717Z[Europe/London]","0.0","1.01"
"Testing different request on the petstore application pet detail","As a user I am getting detail of new pet","SUCCESS","2023-01-10T23:07:14.146Z[Europe/London]","0.0","1.08"
"Testing different request on the petstore application pet detail","As a user I am updating existing pet detail","SUCCESS","2023-01-10T23:07:15.295Z[Europe/London]","0.0","0.56"
"Testing different request on the petstore application pet detail","As user I am deleting Pet detail","SUCCESS","2023-01-10T23:07:15.930Z[Europe/London]","0.0","1.15"
"Testing different request on the petstore application pet detail","As a user I am registering new pet detail","SUCCESS","2023-01-10T23:07:17.660Z[Europe/London]","0.0","2.72"
"Testing different request on the petstore application","As a user I am getting detail of new user","SUCCESS","2023-01-10T23:07:21.381Z[Europe/London]","0.0","0.52"
"Testing different request on the petstore application","As a user I am updating user detail","SUCCESS","2023-01-10T23:07:22.045Z[Europe/London]","0.0","1.12"
"Testing different request on the petstore application","As user I am deleting user detail","SUCCESS","2023-01-10T23:07:23.328Z[Europe/London]","0.0","1.04"
"Testing different request on the petstore application","As a user I am registering new user detail","SUCCESS","2023-01-10T23:07:24.603Z[Europe/London]","0.0","3.01"
